Plot No,Property ID,Area (Sq.Ft),Area (Cent),Rate / Sq.Ft (INR),Total Price (INR),Area (Sq.M),Grounds,Availability
Plot 1,RKS-PLOT-001,2177.13,5,850,1850561,202.26,0.91,AVAILABLE
Plot 2,RKS-PLOT-002,2537.61,5.82,900,2283849,235.75,1.06,AVAILABLE
Plot 3,RKS-PLOT-003,2229.33,5.12,900,2006397,207.11,0.93,AVAILABLE
Plot 4,RKS-PLOT-004,1645.49,3.78,850,1398667,152.87,0.69,AVAILABLE
Plot 5,RKS-PLOT-005,2052.37,4.71,850,1744515,190.67,0.86,AVAILABLE
Plot 6,RKS-PLOT-006,1925.89,4.42,850,1637007,178.92,0.8,AVAILABLE
Plot 7,RKS-PLOT-007,2233.1,5.12,850,1898135,207.46,0.93,AVAILABLE
Plot 8,RKS-PLOT-008,1476.82,3.39,850,1255297,137.2,0.62,AVAILABLE
Plot 9,RKS-PLOT-009,1476.82,3.39,850,1255297,137.2,0.62,AVAILABLE
Plot 10,RKS-PLOT-010,1464.77,3.36,850,1245055,136.08,0.61,AVAILABLE
Plot 11,RKS-PLOT-011,1464.77,3.36,850,1245055,136.08,0.61,AVAILABLE
Plot 12,RKS-PLOT-012,1476.82,3.39,850,1255297,137.2,0.62,AVAILABLE
Plot 13,RKS-PLOT-013,1475.74,3.39,850,1254379,137.1,0.61,AVAILABLE
Plot 14,RKS-PLOT-014,1475.74,3.39,850,1254379,137.1,0.61,AVAILABLE
Plot 15,RKS-PLOT-015,1475.74,3.39,850,1254379,137.1,0.61,AVAILABLE
Plot 16,RKS-PLOT-016,1230.33,2.82,850,1045780,114.3,0.51,AVAILABLE
Plot 17,RKS-PLOT-017,1326.02,3.04,850,1127117,123.19,0.55,AVAILABLE
Plot 18,RKS-PLOT-018,1475.74,3.39,850,1254379,137.1,0.61,AVAILABLE
Plot 19,RKS-PLOT-019,1475.74,3.39,850,1254379,137.1,0.61,AVAILABLE
Plot 20,RKS-PLOT-020,1475.74,3.39,850,1254379,137.1,0.61,AVAILABLE
Plot 21,RKS-PLOT-021,1464.77,3.36,850,1245055,136.08,0.61,AVAILABLE
Plot 22,RKS-PLOT-022,1492.97,3.43,850,1269025,138.7,0.62,AVAILABLE
Plot 23,RKS-PLOT-023,1501.79,3.45,850,1276522,139.52,0.63,AVAILABLE
Plot 24,RKS-PLOT-024,1501.79,3.45,850,1276522,139.52,0.63,AVAILABLE
Plot 25,RKS-PLOT-025,1501.79,3.45,850,1276522,139.52,0.63,AVAILABLE
Plot 26,RKS-PLOT-026,1512.13,3.47,850,1285311,140.48,0.63,AVAILABLE
Plot 27,RKS-PLOT-027,1612.55,3.7,850,1370668,149.81,0.67,AVAILABLE
Plot 28,RKS-PLOT-028,1501.79,3.45,850,1276522,139.52,0.63,AVAILABLE
Plot 29,RKS-PLOT-029,1501.79,3.45,850,1276522,139.52,0.63,AVAILABLE
Plot 30,RKS-PLOT-030,1501.79,3.45,850,1276522,139.52,0.63,AVAILABLE
Plot 31,RKS-PLOT-031,1501.9,3.45,850,1276615,139.53,0.63,AVAILABLE
Plot 32,RKS-PLOT-032,1489.85,3.42,850,1266373,138.41,0.62,AVAILABLE
Plot 33,RKS-PLOT-033,1689.41,3.88,850,1435999,156.95,0.7,AVAILABLE
Plot 34,RKS-PLOT-034,1425.05,3.27,850,1211293,132.39,0.59,AVAILABLE
Plot 35,RKS-PLOT-035,1425.05,3.27,850,1211293,132.39,0.59,AVAILABLE
Plot 36,RKS-PLOT-036,1425.05,3.27,850,1211293,132.39,0.59,AVAILABLE
Plot 37,RKS-PLOT-037,1412.99,3.24,850,1201042,131.27,0.59,AVAILABLE
Plot 38,RKS-PLOT-038,1428.06,3.28,850,1213851,132.67,0.6,AVAILABLE
Plot 39,RKS-PLOT-039,1412.99,3.24,850,1201042,131.27,0.59,AVAILABLE
Plot 40,RKS-PLOT-040,1425.05,3.27,850,1211293,132.39,0.59,AVAILABLE
Plot 41,RKS-PLOT-041,1425.05,3.27,850,1211293,132.39,0.59,AVAILABLE
Plot 42,RKS-PLOT-042,623.67,1.43,850,530120,57.94,0.26,AVAILABLE
Plot 43,RKS-PLOT-043,623.67,1.43,850,530120,57.94,0.26,AVAILABLE
Plot 44,RKS-PLOT-044,623.67,1.43,850,530120,57.94,0.26,AVAILABLE
Plot 45,RKS-PLOT-045,623.67,1.43,850,530120,57.94,0.26,AVAILABLE
Plot 46,RKS-PLOT-046,669.63,1.54,850,569186,62.21,0.28,AVAILABLE
Plot 47,RKS-PLOT-047,544.34,1.25,850,462689,50.57,0.23,AVAILABLE
Plot 48,RKS-PLOT-048,584.82,1.34,850,497097,54.33,0.24,AVAILABLE
Plot 49,RKS-PLOT-049,584.92,1.34,850,497182,54.34,0.24,AVAILABLE
