Plot No,Property ID,City,Type,Area (Sq.Ft),Area (Cent),Total Price (INR),Grounds,Facing,Availability,Rate / Sq.Ft (INR)
Plot 1,RKS-PLOT-001,TRICHY,Residential Plot,2177.13,5,1850561,0.91,East,AVAILABLE,850
Plot 2,RKS-PLOT-002,TRICHY,Residential Plot,2537.61,5.82,2283849,1.06,East,AVAILABLE,900
Plot 3,RKS-PLOT-003,TRICHY,Residential Plot,2229.33,5.12,2006397,0.93,East,AVAILABLE,900
Plot 4,RKS-PLOT-004,TRICHY,Residential Plot,1645.49,3.78,1398667,0.69,East,AVAILABLE,850
Plot 5,RKS-PLOT-005,TRICHY,Residential Plot,2052.37,4.71,1744515,0.86,East,AVAILABLE,850
Plot 6,RKS-PLOT-006,TRICHY,Residential Plot,1925.89,4.42,1637007,0.8,East,AVAILABLE,850
Plot 7,RKS-PLOT-007,TRICHY,Residential Plot,2233.1,5.12,1898135,0.93,East,AVAILABLE,850
Plot 8,RKS-PLOT-008,TRICHY,Residential Plot,1476.82,3.39,1255297,0.62,East,AVAILABLE,850
Plot 9,RKS-PLOT-009,TRICHY,Residential Plot,1476.82,3.39,1255297,0.62,East,AVAILABLE,850
Plot 10,RKS-PLOT-010,TRICHY,Residential Plot,1464.77,3.36,1245055,0.61,East,AVAILABLE,850
Plot 11,RKS-PLOT-011,TRICHY,Residential Plot,1464.77,3.36,1245055,0.61,East,AVAILABLE,850
Plot 12,RKS-PLOT-012,TRICHY,Residential Plot,1476.82,3.39,1255297,0.62,East,AVAILABLE,850
Plot 13,RKS-PLOT-013,TRICHY,Residential Plot,1475.74,3.39,1254379,0.61,East,AVAILABLE,850
Plot 14,RKS-PLOT-014,TRICHY,Residential Plot,1475.74,3.39,1254379,0.61,East,AVAILABLE,850
Plot 15,RKS-PLOT-015,TRICHY,Residential Plot,1475.74,3.39,1254379,0.61,East,AVAILABLE,850
Plot 16,RKS-PLOT-016,TRICHY,Residential Plot,1230.33,2.82,1045780,0.51,East,AVAILABLE,850
Plot 17,RKS-PLOT-017,TRICHY,Residential Plot,1326.02,3.04,1127117,0.55,East,AVAILABLE,850
Plot 18,RKS-PLOT-018,TRICHY,Residential Plot,1475.74,3.39,1254379,0.61,East,AVAILABLE,850
Plot 19,RKS-PLOT-019,TRICHY,Residential Plot,1475.74,3.39,1254379,0.61,East,AVAILABLE,850
Plot 20,RKS-PLOT-020,TRICHY,Residential Plot,1475.74,3.39,1254379,0.61,East,AVAILABLE,850
Plot 21,RKS-PLOT-021,TRICHY,Residential Plot,1464.77,3.36,1245055,0.61,East,AVAILABLE,850
Plot 22,RKS-PLOT-022,TRICHY,Residential Plot,1492.97,3.43,1269025,0.62,East,AVAILABLE,850
Plot 23,RKS-PLOT-023,TRICHY,Residential Plot,1501.79,3.45,1276522,0.63,East,AVAILABLE,850
Plot 24,RKS-PLOT-024,TRICHY,Residential Plot,1501.79,3.45,1276522,0.63,East,AVAILABLE,850
Plot 25,RKS-PLOT-025,TRICHY,Residential Plot,1501.79,3.45,1276522,0.63,East,AVAILABLE,850
Plot 26,RKS-PLOT-026,TRICHY,Residential Plot,1512.13,3.47,1285311,0.63,East,AVAILABLE,850
Plot 27,RKS-PLOT-027,TRICHY,Residential Plot,1612.55,3.7,1370668,0.67,East,AVAILABLE,850
Plot 28,RKS-PLOT-028,TRICHY,Residential Plot,1501.79,3.45,1276522,0.63,East,AVAILABLE,850
Plot 29,RKS-PLOT-029,TRICHY,Residential Plot,1501.79,3.45,1276522,0.63,East,AVAILABLE,850
Plot 30,RKS-PLOT-030,TRICHY,Residential Plot,1501.79,3.45,1276522,0.63,East,AVAILABLE,850
Plot 31,RKS-PLOT-031,TRICHY,Residential Plot,1501.9,3.45,1276615,0.63,East,AVAILABLE,850
Plot 32,RKS-PLOT-032,TRICHY,Residential Plot,1489.85,3.42,1266373,0.62,East,AVAILABLE,850
Plot 33,RKS-PLOT-033,TRICHY,Residential Plot,1689.41,3.88,1435999,0.7,East,AVAILABLE,850
Plot 34,RKS-PLOT-034,TRICHY,Residential Plot,1425.05,3.27,1211293,0.59,East,AVAILABLE,850
Plot 35,RKS-PLOT-035,TRICHY,Residential Plot,1425.05,3.27,1211293,0.59,East,AVAILABLE,850
Plot 36,RKS-PLOT-036,TRICHY,Residential Plot,1425.05,3.27,1211293,0.59,East,AVAILABLE,850
Plot 37,RKS-PLOT-037,TRICHY,Residential Plot,1412.99,3.24,1201042,0.59,East,AVAILABLE,850
Plot 38,RKS-PLOT-038,TRICHY,Residential Plot,1428.06,3.28,1213851,0.6,East,AVAILABLE,850
Plot 39,RKS-PLOT-039,TRICHY,Residential Plot,1412.99,3.24,1201042,0.59,East,AVAILABLE,850
Plot 40,RKS-PLOT-040,TRICHY,Residential Plot,1425.05,3.27,1211293,0.59,East,AVAILABLE,850
Plot 41,RKS-PLOT-041,TRICHY,Residential Plot,1425.05,3.27,1211293,0.59,East,AVAILABLE,850
Plot 42,RKS-PLOT-042,TRICHY,Residential Plot,623.67,1.43,530120,0.26,East,AVAILABLE,850
Plot 43,RKS-PLOT-043,TRICHY,Residential Plot,623.67,1.43,530120,0.26,East,AVAILABLE,850
Plot 44,RKS-PLOT-044,TRICHY,Residential Plot,623.67,1.43,530120,0.26,East,AVAILABLE,850
Plot 45,RKS-PLOT-045,TRICHY,Residential Plot,623.67,1.43,530120,0.26,East,AVAILABLE,850
Plot 46,RKS-PLOT-046,TRICHY,Residential Plot,669.63,1.54,569186,0.28,East,AVAILABLE,850
Plot 47,RKS-PLOT-047,TRICHY,Residential Plot,544.34,1.25,462689,0.23,East,AVAILABLE,850
Plot 48,RKS-PLOT-048,TRICHY,Residential Plot,584.82,1.34,497097,0.24,East,AVAILABLE,850
Plot 49,RKS-PLOT-049,TRICHY,Residential Plot,584.92,1.34,497182,0.24,East,AVAILABLE,850
Plot 50,RKS-PLOT-050,TRICHY,Residential Plot,584.92,1.34,497182,0.24,East,AVAILABLE,850
Plot 51,RKS-PLOT-051,TRICHY,Residential Plot,584.92,1.34,497182,0.24,East,AVAILABLE,850
Plot 52,RKS-PLOT-052,TRICHY,Residential Plot,584.92,1.34,497182,0.24,East,AVAILABLE,850
Plot 53,RKS-PLOT-053,TRICHY,Residential Plot,584.92,1.34,497182,0.24,East,AVAILABLE,850
Plot 54,RKS-PLOT-054,TRICHY,Residential Plot,584.92,1.34,497182,0.24,East,AVAILABLE,850
Plot 55,RKS-PLOT-055,TRICHY,Residential Plot,584.92,1.34,497182,0.24,East,AVAILABLE,850
Plot 56,RKS-PLOT-056,TRICHY,Residential Plot,584.92,1.34,497182,0.24,East,AVAILABLE,850
Plot 57,RKS-PLOT-057,TRICHY,Residential Plot,413.12,0.95,351152,0.17,East,AVAILABLE,850
Plot 58,RKS-PLOT-058,TRICHY,Residential Plot,425.29,0.98,361497,0.18,East,AVAILABLE,850
